,titulo,localizacion,latitude,longitude,price,energy_certification,basic_characteristics,room_number,bath_number,has_garden,has_terrace,has_parking,has_swimmingpool,has_lift,constructed_area,is_new_development,is_needs_renovating,is_goog_condition
50,Finca rústica en venta en calle Alcaudon,"El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6877566,-4.5704576,360000,d,"{'roomNumber': '4', 'bathNumber': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '180'}",4,1,1,1,1,1,,180,0,0,1
51,Casa o chalet independiente en venta en Alva Myrdal,"Pinos de Alhaurín, Alhaurín de la Torre",36.6543584,-4.5860876,590000,exempt,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '250'}",4,3,1,1,1,1,,250,0,0,1
52,Casa o chalet independiente en venta en calle Ronda,"Pinos de Alhaurín, Alhaurín de la Torre",36.6490447,-4.5812414,418000,e,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '0', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '287'}",3,2,0,1,1,1,,287,0,0,1
53,Piso en venta en avenida de las Palmeras s/n,"Centro, Alhaurín de la Torre",36.6604518,-4.568584,181000,inProcess,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasSwimmingPool': '0', 'hasTerrace': '1', 'constructedArea': '71'}",2,2,,1,1,0,1,71,0,0,1
54,Piso en venta en avenida de las Palmeras s/n,"Centro, Alhaurín de la Torre",36.6604518,-4.568584,211000,inProcess,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '85'}",3,2,,1,1,,1,85,0,0,1
55,Casa o chalet independiente en venta en antequera,"Pinos de Alhaurín, Alhaurín de la Torre",36.6450558,-4.5901766,550000,inProcess,"{'roomNumber': '4', 'bathNumber': '4', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '280'}",4,4,1,1,1,1,,280,0,0,1
56,Casa o chalet independiente en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6593796,-4.540994,525000,inProcess,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '311'}",4,2,1,1,1,,,311,0,0,1
57,"Piso en venta en Urb. Lauro Golf, Buenavista-Lauro Golf",Alhaurín de la Torre,36.651929,-4.6315769,249990,inProcess,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '0', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '116'}",2,2,1,1,1,1,0,116,0,0,1
58,Ático en venta en datiles,"Platero - El Limón, Alhaurín de la Torre",36.6605488,-4.567915,184370,inProcess,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '83'}",2,2,,1,1,,1,83,0,0,1
59,Chalet adosado en venta en Lauro Golf s/n,"Buenavista-Lauro Golf, Alhaurín de la Torre",36.651329,-4.6307769,499990,f,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '203'}",4,3,1,1,1,1,,203,0,0,1
60,Piso en venta en Lauro Golf s/n,"Buenavista-Lauro Golf, Alhaurín de la Torre",36.651329,-4.6307769,249990,f,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '0', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '116'}",2,2,1,1,1,1,0,116,0,0,1
61,"Casa o chalet independiente en venta en calle Reserva, 8","Pinos de Alhaurín, Alhaurín de la Torre",36.6589208,-4.5786768,2706000,f,"{'roomNumber': '8', 'bathNumber': '8', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '2500'}",8,8,1,1,1,1,,2500,0,0,1
62,"Casa o chalet independiente en venta en calle Moriles, 79","Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6578012,-4.5391998,725000,f,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasTerrace': '1', 'constructedArea': '311'}",3,2,1,1,1,,,311,0,0,1
63,Casa o chalet independiente en venta en El Cigarral - Dehesa - Borrajo,Alhaurín el Grande,36.6751984,-4.6770715,420000,unknown,"{'roomNumber': '4', 'bathNumber': '3', 'constructedArea': '166'}",4,3,,,,,,166,0,0,1
64,Casa o chalet en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6586843,-4.5510698,795000,g,"{'roomNumber': '6', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '397'}",6,5,1,1,1,1,,397,0,0,1
65,Chalet pareado en venta en calle Rafael Farina,"Pinos de Alhaurín, Alhaurín de la Torre",36.6620952,-4.5874753,449000,b,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '209'}",4,3,1,1,1,1,,209,0,0,1
66,Casa o chalet independiente en venta en calle Casares,"Pinos de Alhaurín, Alhaurín de la Torre",36.6398794,-4.5882913,585000,e,"{'roomNumber': '5', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '355'}",5,3,1,1,1,1,,355,0,0,1
67,Casa o chalet independiente en venta en calle Benahabís,"Pinos de Alhaurín, Alhaurín de la Torre",36.6412435,-4.5916115,990000,d,"{'roomNumber': '4', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '370'}",4,5,1,1,1,1,,370,0,0,1
68,Cortijo en venta en calle 4 Au Mestanza,"El Romeral-Peñón de Zapata, Alhaurín de la Torre",36.6962943,-4.5542727,265000,inProcess,"{'roomNumber': '3', 'bathNumber': '1', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '200'}",3,1,1,1,1,1,,200,0,1,0
69,Casa o chalet independiente en venta en calle Benahavís,"Pinos de Alhaurín, Alhaurín de la Torre",36.6429977,-4.5890492,650000,inProcess,"{'roomNumber': '9', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '450'}",9,5,1,1,1,1,,450,0,0,1
70,Casa o chalet independiente en venta en calle Pablo Ruiz Picasso,"Pinos de Alhaurín, Alhaurín de la Torre",36.65354,-4.5767,420000,e,"{'roomNumber': '4', 'bathNumber': '2', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '145'}",4,2,1,1,,1,,145,0,0,1
71,Casa o chalet independiente en venta en calle Pinos Alhaurin,"Pinos de Alhaurín, Alhaurín de la Torre",36.648838,-4.583759,570000,c,"{'roomNumber': '3', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '215'}",3,2,1,1,1,1,,215,0,0,1
72,Piso en venta en calle Nueva,"Jardines de Alhaurín-Huerta Alta-Fuensanguínea, Alhaurín de la Torre",36.6607605,-4.5616751,95000,e,"{'roomNumber': '1', 'bathNumber': '1', 'hasLift': '1', 'hasParking': '0', 'constructedArea': '73'}",1,1,,,0,,1,73,0,0,1
73,Chalet pareado en venta en calle Hinojo,"Platero - El Limón, Alhaurín de la Torre",36.6598526,-4.5696778,360000,inProcess,"{'roomNumber': '3', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '147'}",3,3,1,1,1,1,,147,0,0,1
74,Casa o chalet independiente en venta en calle Fragata,"Capellanía - Retamar, Alhaurín de la Torre",36.6625264,-4.5379575,575000,inProcess,"{'roomNumber': '5', 'bathNumber': '4', 'hasParking': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '335'}",5,4,,1,1,1,,335,0,0,1
75,Casa o chalet independiente en venta en Manantiales - Lagar - Cortijo,Alhaurín de la Torre,36.6593037,-4.5542922,529000,inProcess,"{'roomNumber': '6', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '329'}",6,5,1,1,1,1,,329,0,0,1
76,Casa o chalet independiente en venta en calle Mijas,"Pinos de Alhaurín, Alhaurín de la Torre",36.6459594,-4.5780844,600000,d,"{'roomNumber': '7', 'bathNumber': '5', 'hasParking': '0', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '540'}",7,5,1,1,0,1,,540,0,0,1
77,Chalet pareado en venta en calle de los Toneleros,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6538008,-4.5385211,362250,inProcess,"{'roomNumber': '4', 'bathNumber': '3', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '220'}",4,3,1,1,1,1,,220,0,0,1
78,Casa o chalet independiente en venta en calle Manuel Aleixandre,"Pinos de Alhaurín, Alhaurín de la Torre",36.6540388,-4.5895389,585000,e,"{'roomNumber': '4', 'bathNumber': '2', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '158'}",4,2,1,1,1,1,,158,0,0,1
79,Piso en venta en calle Huelva,"Centro, Alhaurín de la Torre",36.6637218,-4.5684745,237000,b,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '113'}",3,2,,1,1,,1,113,0,0,1
80,Ático en venta en calle jaen,"Centro, Alhaurín de la Torre",36.6623999,-4.5645365,275000,b,"{'roomNumber': '3', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasTerrace': '1', 'constructedArea': '130'}",3,2,,1,1,,1,130,0,0,1
81,Piso en venta en camino Joaquín Blume,"Platero - El Limón, Alhaurín de la Torre",36.659042,-4.5729903,181000,b,"{'roomNumber': '2', 'bathNumber': '2', 'hasLift': '1', 'hasParking': '1', 'hasTerrace': '0', 'constructedArea': '72'}",2,2,,0,1,,1,72,0,0,1
82,Casa o chalet independiente en venta en calle Oporto,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6595258,-4.5337443,1160000,d,"{'roomNumber': '7', 'bathNumber': '5', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '550'}",7,5,1,1,1,1,,550,0,0,1
83,Casa o chalet independiente en venta en Diseminado Polígono 18 Parcela 94 Cortijo Del Medico.,"Manantiales - Lagar - Cortijo, Alhaurín de la Torre",36.6616932,-4.5429231,750000,inProcess,"{'roomNumber': '11', 'bathNumber': '7', 'hasParking': '1', 'hasGarden': '1', 'hasSwimmingPool': '1', 'hasTerrace': '1', 'constructedArea': '431'}",11,7,1,1,1,1,,431,0,0,1
